national_rank,state_rank,yield,field_state,class,till_maturity_days,date_planted,planting_rate,row_spacing,number_of_rows,planter_make,planter_model,previous_year_crop,seed_treatment,soil_test,soil_test_year,tillage_practice,shallow_till,shallow_trips,deep_till,deep_trips,estimated_percent,product_1,product_2,product_3,product_4,product_5,product_6,product_7,product_8,product_9,harvest_population,nitrogen,phosphorus,potash,trace_element,manure,when_applied_fall,when_applied_spring,when_applied_at_planting,when_applied_side_dress,start_fertilizer,nitrogen_surface,nitrogen_surface_times,nitrogen_incorporated,nitrogen_incorporated_times,nitrogen_irrigation,nitrogen_irrigation_times,irrigated,method,acres_inches,tillage_practice1,harvester_make,harvester_model,total_acres,date_harvested,row_spacing_1,total_length_of_all_rows,total_rows_width,acres_harvested,total_bushels_harvested,bushels_per_acres,recheck,recheck_reason,total_length_of_all_rows_recheck,total_rows_width_recheck,acres_harvested_recheck,total_bushels_harvested_recheck,bushels_per_acres_recheck
8,1,324.8316,CA,"H:Strip-Till, Minimum-Till, Mulch-Till, Ridge-Till Irrigated Class",114,2019-04-12,35000,30,6,Monosem,NG Plus 4,Rye,Acceleron+Poncho 250,TRUE,2019,Strip-Till,FALSE,0,FALSE,0,75,Herbicide:Gramoxone Inteon,Herbicide:Gly Star Plus,NA,NA,NA,NA,NA,NA,NA,38000,320,150,280,"S:null, B:null, Zn:null",NA,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,0,TRUE,2,FALSE,0,TRUE,Furrow,18,Strip-Till,Case IH,1680,12,2019-09-27,30,22344,2.5,1.2824,423.6585,330.3638,Recheck,Recheck required in order to become valid: Bushels per acre > 300.0000,27642,2.5,1.5864,515.3128,324.8316
*,*,318.8326,DE,G:No-Till Irrigated Class,112,2019-04-29,44000,30,16,Case IH,1255 Front-Fold Early Riser,Soybeans,Acceleron,FALSE,0,No-Till,FALSE,0,FALSE,0,70,Herbicide:Acuron,Herbicide:Princep 4L,Herbicide:Generic Roundup,Herbicide:Salvo,Insecticide:Sniper,NA,NA,NA,NA,40000,350,15,230,NA,NA,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,1,FALSE,0,TRUE,2,TRUE,Sprinkler,10,No-Till,Case IH,Axial-Flow 7120,30,2019-09-09,30,22972,2.5,1.3184,408.2779,309.6768,Recheck,Recheck required in order to become valid: Bushels per acre > 300.0000,23060,2.5,1.3235,421.975,318.8326
5,1,320.1008,DE,G:No-Till Irrigated Class,114,2019-04-29,44000,30,16,Case IH,1255 Front-Fold Early Riser,Wheat/Soybeans,Acceleron,TRUE,2018,No-Till,FALSE,0,FALSE,0,70,Herbicide:Acuron,Herbicide:Princep 4L,Herbicide:Generic Roundup,Herbicide:Salvo,Insecticide:Sniper,NA,NA,NA,NA,42000,350,15,230,NA,NA,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,1,FALSE,0,TRUE,2,TRUE,Sprinkler,10,No-Till,Case IH,Axial-Flow 7120,30,2019-09-09,30,22712,2.5,1.3035,418.2954,320.9017,Recheck,Recheck required in order to become valid: Bushels per acre > 300.0000,22032,2.5,1.2645,404.7675,320.1008
16,1,317.2802,PA,I:Conventional Irrigated Class,117,2019-04-10,35000,30,12,John Deere,1760 Drawn Wing-Fold Flex,Corn,NA,TRUE,2019,Conventional,TRUE,2,TRUE,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,35000,350,50,100,NA,NA,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,2,FALSE,0,TRUE,5,TRUE,Sprinkler,7,Conventional,John Deere,S660,60,2019-10-11,30,25296,2.5,1.4518,460.0904,316.9103,Recheck,Recheck required in order to become valid: Bushels per acre > 300.0000,25312,2.5,1.4527,460.9129,317.2802
8,4,307.9441,IL,B:Conventional Non-Irrigated Class,113,2019-05-18,37000,30,24,John Deere,1775NT,Soybeans,NA,FALSE,0,Conventional,TRUE,2,FALSE,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,37000,0,0,0,NA,NA,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,0,FALSE,0,FALSE,0,FALSE,NA,0,Conventional,John Deere,S680,122,2019-11-08,30,22032,2.5,1.2645,385.7396,305.0531,Recheck,Recheck required in order to become valid: Bushels per acre > 300.0000,22032,2.5,1.2645,389.3953,307.9441
29*,11,296.4425,PA,C:No-Till Non-Irrigated Class,112,2019-04-29,37200,30,16,White,8831 CFS Narrow Transport,Soybeans,acceleron 500,TRUE,2018,No-Till,FALSE,0,FALSE,0,100,Herbicide:Acuron,Herbicide:Roundup PowerMax,"Herbicide:2,4-D Ester",Insecticide:Warrior II,Insecticide:Ethos XB,NA,NA,NA,NA,36000,250,0,0,NA,Cattle:6200gal,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,FALSE,0,FALSE,NA,0,No-Till,Case IH,2388,12,2019-10-17,30,23084,2.5,1.3248,397.5,300.0453,Recheck,Recheck required in order to become valid: Bushels per acre > 300.0000,23660,2.5,1.3579,402.5393,296.4425
13*,5*,308.0178,PA,C:No-Till Non-Irrigated Class,113,2019-04-29,37200,30,16,White,8831 CFS Narrow Transport,Soybeans,"Cruiser 250, Lumivia 250, Raxil",TRUE,2018,No-Till,FALSE,0,FALSE,0,100,Herbicide:Acuron,Herbicide:Roundup PowerMax,"Herbicide:2,4-D Ester",Insecticide:Warrior II,Insecticide:Ethos XB,NA,NA,NA,NA,36000,250,0,0,NA,Cattle:6200gal,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,2,FALSE,0,FALSE,0,FALSE,NA,0,No-Till,Case IH,2388,12,2019-10-17,30,24816,2.5,1.4242,448.1061,314.6371,Recheck,Recheck required in order to become valid: Bushels per acre > 300.0000,25176,2.5,1.4449,445.0549,308.0178
30*,1,295.9138,NE,C:No-Till Non-Irrigated Class,110,2019-04-13,44000,30,16,John Deere,1795,Soybeans,Acceleron+Poncho 250,TRUE,2018,No-Till,FALSE,0,FALSE,0,80,Herbicide:Degree Xtra,NA,NA,NA,NA,NA,NA,NA,NA,40000,225,50,25,NA,NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,3,TRUE,2,FALSE,0,FALSE,NA,0,No-Till,John Deere,S770,200,2019-09-20,30,27720,2.5,1.5909,478.1834,300.5741,Recheck,Recheck required in order to become valid: Bushels per acre > 300.0000,27720,2.5,1.5909,470.7692,295.9138
11,4,309.8409,PA,C:No-Till Non-Irrigated Class,112,2019-04-19,36000,30,12,John Deere,1795,Wheat/Soybeans,NA,TRUE,2018,No-Till,FALSE,0,FALSE,0,40,"Herbicide:2,4-D+Roundup",Herbicide:Acuron,NA,NA,NA,NA,NA,NA,NA,34500,200,50,90,Zn:2lbs,Poultry:6tons,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,1,FALSE,0,FALSE,0,FALSE,NA,0,No-Till,John Deere,9510,40,2019-09-30,30,22164,2.5,1.272,404.7836,318.2261,Recheck,Recheck required in order to become valid: Bushels per acre > 300.0000,22326,2.5,1.2813,396.9992,309.8409
17,6,301.5865,PA,C:No-Till Non-Irrigated Class,118,2019-04-18,36000,30,12,John Deere,1795,Soybeans,NA,TRUE,2018,No-Till,FALSE,0,FALSE,0,40,"Herbicide:2,4-D+Roundup",Herbicide:Acuron,NA,NA,NA,NA,NA,NA,NA,36173,150,80,120,Zn:2lbs,Poultry:5tons,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,1,FALSE,0,FALSE,0,FALSE,NA,0,No-Till,John Deere,9510,20,2019-10-11,30,26094,2.5,1.4976,457.4822,305.4769,Recheck,Recheck required in order to become valid: Bushels per acre > 300.0000,26262,2.5,1.5072,454.5511,301.5865
